開催日,日目,レース,開催日,着,actual_boat1_win,P(1号艇1着),予測,的中
2024-02-20,1,8,2024-02-20,1,1,0.46990696622662187,0,False
2024-02-20,1,9,2024-02-20,2,0,0.8349323057332186,1,False
2024-02-20,1,10,2024-02-20,1,1,0.7047372973485438,1,True
2024-02-20,1,11,2024-02-20,3,0,0.6846389958479254,1,False
2024-02-20,1,12,2024-02-20,1,1,0.8988237729376196,1,True
2024-02-21,2,1,2024-02-21,3,0,0.44572933668507025,0,True
2024-02-21,2,2,2024-02-21,4,0,0.1202669314566545,0,True
2024-02-21,2,6,2024-02-21,4,0,0.5473895456676843,1,False
2024-02-21,2,7,2024-02-21,4,0,0.33389795223598434,0,True
2024-02-21,2,8,2024-02-21,1,1,0.7568817894002857,1,True
2024-02-21,2,9,2024-02-21,1,1,0.8493123067257616,1,True
2024-02-21,2,10,2024-02-21,1,1,0.6097024037706956,1,True
2024-02-22,3,1,2024-02-22,2,0,0.48883932231984906,0,True
2024-02-22,3,2,2024-02-22,4,0,0.0657442341374352,0,True
2024-02-22,3,3,2024-02-22,2,0,0.38451575408224586,0,True
