race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-08-04_R1,3-2-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-04_R2,4-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-04_R3,2-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-04_R4,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-04_R5,5-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-04_R6,5-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-04_R11,3-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-05_R5,4-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-06_R3,4-1-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-06_R7,5-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-07_R3,4-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-07_R6,4-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-08_R9,3-1-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-08_R10,4-5-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-08_R11,2-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-10_R1,5-3-1,0,2-5-4,4-5-2,5-2-4,5-4-2,2-4-5
2025-08-10_R2,2-1-6,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-08-10_R5,6-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-11_R1,2-1-3,0,2-4-1,2-4-3,2-4-5,2-4-6,4-2-1
2025-08-11_R2,5-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-11_R3,6-2-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-11_R4,4-3-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-11_R5,6-4-5,0,2-1-5,2-3-5,2-4-5,2-5-1,2-5-3
2025-08-11_R6,2-3-4,0,2-1-5,2-3-5,2-4-5,2-5-1,2-5-3
2025-08-11_R7,2-3-4,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-08-12_R1,3-1-6,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-08-12_R2,3-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-12_R4,3-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
